dataset,version,rows,accuracy,fpr,fnr,adv_f1,benign_f1,tp,fp,tn,fn
deepset,current,116,0.6120689655172413,0.42857142857142855,0.35,0.6341463414634146,0.5871559633027522,39,24,32,21
deepset,legacy_external_artifact,116,0.4482758620689655,1.0,0.13333333333333333,0.6190476190476191,0.0,52,56,0,8
jackhhao,current,262,0.8816793893129771,0.14634146341463414,0.09352517985611511,0.8904593639575972,0.871369294605809,126,18,105,13
jackhhao,legacy_external_artifact,262,0.5076335877862596,0.8943089430894309,0.1366906474820144,0.6504065040650405,0.16774193548387095,120,110,13,19
safeguard,current,2049,0.7613469985358712,0.10206995003568879,0.5339506172839507,0.5526075022872827,0.8372712146422628,302,143,1258,346
safeguard,legacy_external_artifact,2060,0.2849514563106796,0.9340425531914893,0.24,0.4014628199918732,0.11211573236889692,494,1317,93,156
test,current,1618,0.957972805933251,0.13333333333333333,0.021244309559939303,0.974320241691843,0.8843537414965987,1290,40,260,28
