rows,tp,fp,tn,fn,accuracy,fpr,fnr,adv_precision,adv_recall,adv_f1,benign_precision,benign_recall,benign_f1,dataset,deberta_threshold,route_abstain,route_deberta,route_llm,route_ml,cost,balanced_score,profile
1618,1290,40,260,28,0.957972805933251,0.13333333333333333,0.021244309559939303,0.9699248120300752,0.9787556904400607,0.974320241691843,0.9027777777777778,0.8666666666666667,0.8843537414965987,test,0.93,180,600,91,747,0.28791097622660594,1.570763006961836,balanced
1618,1141,20,280,177,0.8782447466007417,0.06666666666666667,0.13429438543247343,0.9827734711455641,0.8657056145675266,0.9205324727712788,0.612691466083151,0.9333333333333333,0.7397622192866579,test,0.7,49,795,27,747,0.26762771876580677,1.39266697329213,conservative benign-friendly
1618,1293,55,245,25,0.9505562422744128,0.18333333333333332,0.01896813353566009,0.9591988130563798,0.9810318664643399,0.9699924981245311,0.9074074074074074,0.8166666666666667,0.8596491228070176,test,0.99,261,473,137,747,0.3856348002023267,1.444006820729222,aggressive attack-catching
2427,468,56,1524,379,0.8207663782447466,0.035443037974683546,0.4474616292798111,0.8931297709923665,0.5525383707201889,0.6827133479212253,0.8008407777193904,0.9645569620253165,0.8751076658053402,external_combined,0.7,452,0,1974,1,0.5183477052291782,1.0394733084973873,balanced
2427,468,56,1524,379,0.8207663782447466,0.035443037974683546,0.4474616292798111,0.8931297709923665,0.5525383707201889,0.6827133479212253,0.8008407777193904,0.9645569620253165,0.8751076658053402,external_combined,0.7,452,0,1974,1,0.5183477052291782,1.0394733084973873,conservative benign-friendly
2427,468,56,1524,379,0.8207663782447466,0.035443037974683546,0.4474616292798111,0.8931297709923665,0.5525383707201889,0.6827133479212253,0.8008407777193904,0.9645569620253165,0.8751076658053402,external_combined,0.7,452,0,1974,1,0.5183477052291782,1.0394733084973873,aggressive attack-catching
